,City,Lot Size,Listing Price,Baths,Beds,Year Built
0,Apple Valley,135166.0,380000,4.0,4,1978.0
1,Apple Valley,94873.0,825000,4.0,5,1987.0
2,Apple Valley,82086.0,585000,4.0,5,1977.0
3,Apple Valley,69260.0,689000,4.0,4,1960.0
4,Apple Valley,57194.0,425000,3.0,3,1972.0
5,Apple Valley,55756.0,475000,4.0,5,1987.0
6,Apple Valley,42756.0,335000,3.0,4,1987.0
7,Apple Valley,34194.0,398500,3.0,4,1985.0
8,Apple Valley,33105.0,699900,4.0,3,1984.0
9,Apple Valley,31363.0,501000,4.0,5,1988.0
10,Apple Valley,30927.0,437900,4.0,4,1985.0
11,Apple Valley,30709.0,289900,2.0,5,1972.0
12,Apple Valley,29882.0,340000,4.0,5,1978.0
13,Apple Valley,29185.0,290100,2.0,4,1983.0
14,Apple Valley,25351.0,274900,3.0,3,1969.0
15,Apple Valley,25232.0,348900,2.0,3,1982.0
16,Apple Valley,24916.0,277000,2.0,3,1966.0
17,Apple Valley,24132.0,335000,4.0,5,1977.0
18,Apple Valley,23522.0,489000,3.0,4,1986.0
19,Apple Valley,23478.0,330000,3.0,5,1980.0
20,Apple Valley,23261.0,445000,3.0,4,1984.0
21,Apple Valley,22834.0,302900,2.0,3,1978.0
22,Apple Valley,22476.0,420000,4.0,4,1986.0
23,Apple Valley,22389.0,320400,3.0,5,1969.0
24,Apple Valley,22215.0,293928,2.0,3,1973.0
25,Apple Valley,22215.0,445000,4.0,5,1978.0
26,Apple Valley,21692.0,579150,3.0,4,1995.0
27,Apple Valley,21649.0,440000,3.0,5,2003.0
28,Apple Valley,20835.0,395782,3.0,5,2017.0
29,Apple Valley,20777.0,130000,2.0,5,1978.0
30,Apple Valley,20386.0,250000,2.0,3,1977.0
31,Apple Valley,20255.0,525000,4.0,4,1989.0
32,Apple Valley,19427.0,479900,3.0,3,1999.0
33,Apple Valley,19297.0,300000,2.0,3,1973.0
34,Apple Valley,19166.0,499900,3.0,4,2017.0
35,Apple Valley,18774.0,385000,4.0,4,1982.0
36,Apple Valley,18295.0,430000,4.0,4,2003.0
37,Apple Valley,18033.0,464900,5.0,5,2017.0
38,Apple Valley,17963.0,259573,1.0,4,1962.0
39,Apple Valley,17859.0,424900,4.0,5,1988.0
40,Apple Valley,17728.0,314900,3.0,4,1987.0
41,Apple Valley,17424.0,285000,2.0,6,1965.0
42,Apple Valley,17097.0,330500,2.5,4,1980.0
43,Apple Valley,16955.0,539518,2.0,4,2014.0
44,Apple Valley,16857.0,520000,4.0,5,1995.0
45,Apple Valley,16770.0,469900,5.0,5,1998.0
46,Apple Valley,16712.0,428379,3.0,5,2017.0
47,Apple Valley,16552.0,304500,2.0,4,1987.0
48,Apple Valley,16552.0,260000,2.0,3,1973.0
49,Apple Valley,16552.0,322000,4.0,4,1986.0
50,Apple Valley,16552.0,291900,3.0,3,1983.0
51,Apple Valley,16160.0,250000,2.0,3,1978.0
52,Apple Valley,15986.0,449900,4.0,4,1987.0
53,Apple Valley,15812.0,310000,3.0,3,1972.0
54,Apple Valley,15768.0,182750,2.0,2,1982.0
55,Apple Valley,15681.0,349900,3.0,4,1971.0
56,Apple Valley,15681.0,327500,4.0,5,1987.0
57,Apple Valley,15681.0,349900,3.0,5,1975.0
58,Apple Valley,15550.0,394900,3.0,5,1991.0
59,Apple Valley,15341.0,334500,2.0,4,1988.0
60,Apple Valley,15333.0,435000,4.0,5,1987.0
61,Apple Valley,15245.0,465000,4.0,5,1993.0
62,Apple Valley,15245.0,360000,4.0,5,1996.0
63,Apple Valley,15115.0,464999,4.0,4,1988.0
64,Apple Valley,15054.0,270500,2.0,5,1969.0
65,Apple Valley,14810.0,406000,4.0,4,1995.0
66,Apple Valley,14549.0,575000,4.0,4,1977.0
67,Apple Valley,14549.0,399900,4.0,5,1998.0
68,Apple Valley,14509.0,425000,3.0,5,2010.0
69,Apple Valley,14505.0,300000,2.0,4,1975.0
70,Apple Valley,14505.0,365000,3.0,5,1973.0
71,Apple Valley,14374.0,440000,3.0,4,2017.0
72,Apple Valley,14374.0,295000,3.0,4,1969.0
73,Apple Valley,14287.0,424900,3.0,4,1984.0
74,Apple Valley,14155.0,357200,2.0,2,2017.0
75,Apple Valley,14079.0,626070,5.0,6,2017.0
76,Apple Valley,14026.0,280000,2.0,4,1972.0
77,Apple Valley,14002.0,167500,2.0,3,1966.0
78,Apple Valley,13939.0,278000,2.0,3,1986.0
79,Apple Valley,13939.0,465000,4.0,4,1986.0
80,Apple Valley,13939.0,290000,2.0,3,1969.0
81,Apple Valley,13939.0,252000,2.0,6,1969.0
82,Apple Valley,13808.0,342900,3.0,4,1975.0
83,Apple Valley,13721.0,325000,3.0,4,1989.0
84,Apple Valley,13634.0,267500,2.0,3,1969.0
85,Apple Valley,13503.0,388000,3.0,4,2017.0
86,Apple Valley,13503.0,285000,3.0,6,1971.0
87,Apple Valley,13503.0,350000,3.0,3,1992.0
88,Apple Valley,13503.0,287000,3.0,5,1977.0
89,Apple Valley,13503.0,510000,4.0,4,2018.0
90,Apple Valley,13416.0,250000,2.0,5,1973.0
91,Apple Valley,13416.0,387000,4.0,5,1993.0
92,Apple Valley,13329.0,445000,3.0,4,1998.0
93,Apple Valley,13198.0,389999,4.0,4,1978.0
94,Apple Valley,13111.0,424500,4.0,5,1998.0
95,Apple Valley,13068.0,279900,2.0,3,1974.0
96,Apple Valley,13068.0,265000,2.0,3,1972.0
97,Apple Valley,13068.0,265100,3.0,3,1971.0
98,Apple Valley,13068.0,405000,3.0,5,1984.0
99,Apple Valley,13068.0,265000,2.0,3,1969.0
100,Apple Valley,13024.0,279000,2.0,4,1977.0
101,Apple Valley,12980.0,247000,2.0,3,1977.0
103,Apple Valley,12763.0,424900,3.0,4,1992.0
104,Apple Valley,12724.0,537000,4.0,5,2017.0
105,Apple Valley,12632.0,425000,3.0,3,2018.0
106,Apple Valley,12632.0,315000,3.0,4,1980.0
107,Apple Valley,12632.0,532000,4.0,4,2018.0
108,Apple Valley,12588.0,278000,2.0,4,1969.0
109,Apple Valley,12196.0,273000,2.0,4,1964.0
110,Apple Valley,12196.0,350000,3.0,4,1987.0
111,Apple Valley,12196.0,340000,3.0,3,1984.0
112,Apple Valley,12196.0,383000,4.0,4,1998.0
113,Apple Valley,12196.0,465000,4.0,5,1995.0
114,Apple Valley,12153.0,272000,2.0,4,1986.0
115,Apple Valley,11979.0,269900,3.0,3,1977.0
116,Apple Valley,11901.0,239900,2.0,3,1983.0
117,Apple Valley,11848.0,278000,2.0,4,1986.0
118,Apple Valley,11761.0,285000,2.0,4,1974.0
119,Apple Valley,11761.0,262500,2.0,3,1991.0
120,Apple Valley,11761.0,415000,3.0,5,1998.0
121,Apple Valley,11761.0,285000,2.0,3,1979.0
122,Apple Valley,11761.0,430000,4.0,5,1995.0
123,Apple Valley,11761.0,244000,2.0,3,1976.0
