,Unnamed: 0,year_built,stories,num_bedrooms,full_bathrooms,half_bathrooms,livable_sqft,total_sqft,garage_type,garage_sqft,carport_sqft,has_fireplace,has_pool,has_central_heating,has_central_cooling,house_number,street_name,unit_number,city,zip_code,sale_price,Year_levels
0,24,2007,1,2,2,0,1311,1694,detached,206,0,True,False,True,True,397,Cox Way,,West Ann,10748,311217.0,2002-2018
3,28,2003,1,3,2,1,4078,5034,detached,925,0,True,True,True,True,967,Anthony Crest,,West Ann,10748,1354501.0,2002-2018
4,29,1986,1,2,2,0,1390,1642,detached,466,0,True,False,True,True,155,Robin Passage,,West Ann,10748,491401.0,1985-2001
5,30,1973,1,2,2,1,2195,3352,detached,507,0,False,False,True,True,5518,Scott Road,,West Ann,10748,321298.0,1968-1984
6,31,1973,1,2,2,1,2205,3264,detached,505,0,False,False,True,True,8466,Scott Road,,West Ann,10748,466199.0,1968-1984
7,32,1981,1,2,2,0,1395,1641,detached,465,0,True,False,True,True,6825,Gary Pine,,West Ann,10748,378002.0,1968-1984
8,33,1986,1,2,2,0,1393,1637,detached,470,0,True,False,True,True,9620,Rodgers Square,,West Ann,10748,378004.0,1985-2001
9,34,1983,2,2,2,1,1742,1893,attached,421,0,True,False,True,True,89,Travis Inlet,,West Ann,10748,422103.0,1968-1984
10,92,1993,1,3,3,1,2232,2339,detached,598,0,True,False,True,True,4315,Miles Stream,,West Ann,10748,590937.0,1985-2001
11,93,1993,1,3,2,1,2034,2035,attached,439,0,True,False,True,True,389,Miles Stream,,West Ann,10748,679144.0,1985-2001
12,94,1999,1,3,1,1,2036,2035,attached,498,0,True,True,True,True,17236,Nicole Circles,,West Ann,10748,577076.0,1985-2001
13,95,1973,1,3,2,1,2280,2912,attached,550,0,True,False,True,True,8351,Gomez Inlet,,West Ann,10748,434700.0,1968-1984
14,96,1978,1,3,2,1,2454,3203,detached,596,0,True,False,True,True,57063,Scott Road,,West Ann,10748,396902.0,1968-1984
15,97,1973,1,3,2,1,2401,2892,attached,526,0,True,True,True,True,143,Sanchez Loaf,,West Ann,10748,656460.0,1968-1984
16,98,1983,1,2,1,1,1735,1852,attached,404,0,True,False,True,True,19420,Ronald Dale,,West Ann,10748,264604.0,1968-1984
17,99,1988,2,3,2,1,1799,1810,attached,445,0,True,True,True,True,4168,Denise Ridges,,West Ann,10748,386819.0,1985-2001
18,103,2002,1,3,2,1,2462,2851,attached,444,0,True,True,True,True,95064,Holland Street,,West Ann,10748,503998.0,2002-2018
19,104,1994,1,4,2,1,3315,3319,attached,600,0,True,True,True,True,28647,Bryan Land,,West Ann,10748,608580.0,1985-2001
