,Unnamed: 0,year_built,stories,num_bedrooms,full_bathrooms,half_bathrooms,livable_sqft,total_sqft,garage_sqft,carport_sqft,has_fireplace,has_pool,has_central_heating,has_central_cooling,zip_code,sale_price,garage_type_attached,garage_type_detached,city_East Lucas,city_North Erinville,city_Port Andrealand,city_Port Jonathanborough,city_Wendybury,city_West Ann
0,24.0,2007.0,1.0,2.0,2.0,0.0,1311.0,1694.0,206.0,0.0,1.0,0.0,1.0,1.0,10748.0,311217.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3,28.0,2003.0,1.0,3.0,2.0,1.0,4078.0,5034.0,925.0,0.0,1.0,1.0,1.0,1.0,10748.0,1354501.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,29.0,1986.0,1.0,2.0,2.0,0.0,1390.0,1642.0,466.0,0.0,1.0,0.0,1.0,1.0,10748.0,491401.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5,30.0,1973.0,1.0,2.0,2.0,1.0,2195.0,3352.0,507.0,0.0,0.0,0.0,1.0,1.0,10748.0,321298.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6,31.0,1973.0,1.0,2.0,2.0,1.0,2205.0,3264.0,505.0,0.0,0.0,0.0,1.0,1.0,10748.0,466199.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7,32.0,1981.0,1.0,2.0,2.0,0.0,1395.0,1641.0,465.0,0.0,1.0,0.0,1.0,1.0,10748.0,378002.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8,33.0,1986.0,1.0,2.0,2.0,0.0,1393.0,1637.0,470.0,0.0,1.0,0.0,1.0,1.0,10748.0,378004.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
9,34.0,1983.0,2.0,2.0,2.0,1.0,1742.0,1893.0,421.0,0.0,1.0,0.0,1.0,1.0,10748.0,422103.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,92.0,1993.0,1.0,3.0,3.0,1.0,2232.0,2339.0,598.0,0.0,1.0,0.0,1.0,1.0,10748.0,590937.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11,93.0,1993.0,1.0,3.0,2.0,1.0,2034.0,2035.0,439.0,0.0,1.0,0.0,1.0,1.0,10748.0,679144.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,94.0,1999.0,1.0,3.0,1.0,1.0,2036.0,2035.0,498.0,0.0,1.0,1.0,1.0,1.0,10748.0,577076.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,95.0,1973.0,1.0,3.0,2.0,1.0,2280.0,2912.0,550.0,0.0,1.0,0.0,1.0,1.0,10748.0,434700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,96.0,1978.0,1.0,3.0,2.0,1.0,2454.0,3203.0,596.0,0.0,1.0,0.0,1.0,1.0,10748.0,396902.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
15,97.0,1973.0,1.0,3.0,2.0,1.0,2401.0,2892.0,526.0,0.0,1.0,1.0,1.0,1.0,10748.0,656460.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,98.0,1983.0,1.0,2.0,1.0,1.0,1735.0,1852.0,404.0,0.0,1.0,0.0,1.0,1.0,10748.0,264604.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,99.0,1988.0,2.0,3.0,2.0,1.0,1799.0,1810.0,445.0,0.0,1.0,1.0,1.0,1.0,10748.0,386819.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,103.0,2002.0,1.0,3.0,2.0,1.0,2462.0,2851.0,444.0,0.0,1.0,1.0,1.0,1.0,10748.0,503998.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,104.0,1994.0,1.0,4.0,2.0,1.0,3315.0,3319.0,600.0,0.0,1.0,1.0,1.0,1.0,10748.0,608580.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,105.0,2000.0,1.0,4.0,2.0,1.0,3012.0,3342.0,638.0,0.0,1.0,1.0,1.0,1.0,10748.0,995404.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,191.0,2005.0,1.0,3.0,3.0,0.0,2790.0,3049.0,499.0,0.0,1.0,1.0,1.0,1.0,10748.0,806400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,326.0,2006.0,1.0,3.0,3.0,0.0,3184.0,3497.0,713.0,0.0,1.0,1.0,1.0,1.0,10748.0,1001696.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,454.0,2002.0,1.0,4.0,2.0,1.0,2741.0,3064.0,710.0,0.0,1.0,0.0,1.0,1.0,10748.0,475654.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,456.0,2001.0,2.0,3.0,2.0,0.0,2995.0,3020.0,654.0,0.0,1.0,1.0,1.0,1.0,10748.0,646379.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,457.0,1998.0,1.0,3.0,2.0,0.0,2020.0,2081.0,622.0,0.0,1.0,1.0,1.0,1.0,10748.0,428401.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,459.0,1991.0,1.0,3.0,2.0,0.0,2086.0,2085.0,501.0,0.0,1.0,1.0,1.0,1.0,10748.0,453600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,507.0,2004.0,1.0,6.0,3.0,1.0,3255.0,3462.0,439.0,0.0,1.0,1.0,1.0,1.0,10748.0,529198.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,510.0,2001.0,1.0,4.0,2.0,1.0,2021.0,2022.0,444.0,0.0,1.0,0.0,1.0,1.0,10748.0,371704.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,511.0,2001.0,1.0,3.0,2.0,0.0,1812.0,1838.0,440.0,0.0,1.0,0.0,1.0,1.0,10748.0,384302.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,512.0,2001.0,1.0,3.0,2.0,0.0,1806.0,1834.0,444.0,0.0,1.0,1.0,1.0,1.0,10748.0,441004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,513.0,2000.0,1.0,3.0,2.0,0.0,1710.0,1709.0,419.0,0.0,1.0,1.0,1.0,1.0,10748.0,443519.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,514.0,1998.0,1.0,4.0,2.0,0.0,1692.0,1787.0,579.0,0.0,1.0,1.0,1.0,1.0,10748.0,441001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,515.0,2000.0,1.0,3.0,2.0,1.0,2286.0,2416.0,640.0,0.0,1.0,1.0,1.0,1.0,10748.0,478798.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,516.0,1997.0,1.0,3.0,2.0,0.0,1795.0,1830.0,439.0,0.0,1.0,1.0,1.0,1.0,10748.0,412019.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
