,sale_price,num_bedrooms,has_fireplace,year_built,Year_levels
0,311217.0,2.0,1.0,2007.0,2002-2018
1,1354501.0,3.0,1.0,2003.0,2002-2018
2,491401.0,2.0,1.0,1986.0,1985-2001
3,321298.0,2.0,0.0,1973.0,1968-1984
4,466199.0,2.0,0.0,1973.0,1968-1984
5,378002.0,2.0,1.0,1981.0,1968-1984
6,378004.0,2.0,1.0,1986.0,1985-2001
7,422103.0,2.0,1.0,1983.0,1968-1984
8,590937.0,3.0,1.0,1993.0,1985-2001
9,679144.0,3.0,1.0,1993.0,1985-2001
10,577076.0,3.0,1.0,1999.0,1985-2001
11,434700.0,3.0,1.0,1973.0,1968-1984
12,396902.0,3.0,1.0,1978.0,1968-1984
13,656460.0,3.0,1.0,1973.0,1968-1984
14,264604.0,2.0,1.0,1983.0,1968-1984
15,386819.0,3.0,1.0,1988.0,1985-2001
16,503998.0,3.0,1.0,2002.0,2002-2018
17,608580.0,4.0,1.0,1994.0,1985-2001
18,995404.0,4.0,1.0,2000.0,1985-2001
19,806400.0,3.0,1.0,2005.0,2002-2018
20,1001696.0,3.0,1.0,2006.0,2002-2018
21,475654.0,4.0,1.0,2002.0,2002-2018
22,646379.0,3.0,1.0,2001.0,1985-2001
23,428401.0,3.0,1.0,1998.0,1985-2001
24,453600.0,3.0,1.0,1991.0,1985-2001
25,529198.0,6.0,1.0,2004.0,2002-2018
26,371704.0,4.0,1.0,2001.0,1985-2001
27,384302.0,3.0,1.0,2001.0,1985-2001
28,441004.0,3.0,1.0,2001.0,1985-2001
29,443519.0,3.0,1.0,2000.0,1985-2001
30,441001.0,4.0,1.0,1998.0,1985-2001
31,478798.0,3.0,1.0,2000.0,1985-2001
32,412019.0,3.0,1.0,1997.0,1985-2001
33,315003.0,3.0,1.0,1995.0,1985-2001
34,205377.0,3.0,1.0,1995.0,1985-2001
35,412649.0,3.0,1.0,1998.0,1985-2001
36,439737.0,4.0,1.0,1996.0,1985-2001
37,573303.0,4.0,1.0,1997.0,1985-2001
38,340204.0,3.0,1.0,1994.0,1985-2001
39,396901.0,3.0,1.0,1990.0,1985-2001
40,459900.0,4.0,1.0,1995.0,1985-2001
41,277202.0,3.0,1.0,1993.0,1985-2001
42,301137.0,3.0,1.0,1991.0,1985-2001
43,463681.0,4.0,1.0,1989.0,1985-2001
44,464312.0,4.0,1.0,1991.0,1985-2001
45,408243.0,4.0,1.0,1992.0,1985-2001
46,207897.0,2.0,0.0,1999.0,1985-2001
47,179550.0,1.0,0.0,2001.0,1985-2001
48,245074.0,2.0,0.0,1988.0,1985-2001
49,177034.0,1.0,0.0,1989.0,1985-2001
50,1020598.0,3.0,1.0,2003.0,2002-2018
51,1080451.0,4.0,1.0,2002.0,2002-2018
52,1071002.0,4.0,1.0,2001.0,1985-2001
53,1637999.0,4.0,1.0,2000.0,1985-2001
54,995396.0,3.0,1.0,2001.0,1985-2001
55,970198.0,3.0,1.0,1998.0,1985-2001
56,694262.0,3.0,1.0,1995.0,1985-2001
57,188998.0,2.0,1.0,2007.0,2002-2018
58,450448.0,4.0,1.0,2004.0,2002-2018
59,655198.0,4.0,1.0,2015.0,2002-2018
60,630000.0,4.0,1.0,2016.0,2002-2018
61,473131.0,4.0,1.0,2014.0,2002-2018
62,464311.0,3.0,1.0,2015.0,2002-2018
63,484471.0,4.0,1.0,2015.0,2002-2018
64,451084.0,4.0,1.0,2013.0,2002-2018
65,454228.0,4.0,1.0,2014.0,2002-2018
66,466198.0,6.0,1.0,2007.0,2002-2018
67,401939.0,5.0,1.0,2007.0,2002-2018
68,376742.0,3.0,1.0,1992.0,1985-2001
69,342719.0,3.0,1.0,2011.0,2002-2018
70,302401.0,3.0,1.0,2011.0,2002-2018
71,389966.0,2.0,0.0,2014.0,2002-2018
72,456124.0,2.0,0.0,2015.0,2002-2018
73,391227.0,2.0,0.0,2015.0,2002-2018
74,375484.0,2.0,0.0,2016.0,2002-2018
75,340831.0,2.0,0.0,2014.0,2002-2018
76,374220.0,2.0,0.0,2014.0,2002-2018
77,408241.0,2.0,0.0,2015.0,2002-2018
78,412022.0,3.0,0.0,2011.0,2002-2018
79,476283.0,5.0,1.0,2013.0,2002-2018
80,466201.0,4.0,1.0,2013.0,2002-2018
81,461160.0,4.0,1.0,2013.0,2002-2018
82,460530.0,3.0,0.0,2014.0,2002-2018
83,448561.0,3.0,0.0,2016.0,2002-2018
84,443524.0,3.0,0.0,2014.0,2002-2018
85,475650.0,3.0,0.0,2015.0,2002-2018
86,450450.0,4.0,0.0,2015.0,2002-2018
87,499589.0,3.0,0.0,2015.0,2002-2018
88,497704.0,3.0,0.0,2014.0,2002-2018
89,489513.0,3.0,0.0,2015.0,2002-2018
90,549358.0,5.0,0.0,2014.0,2002-2018
91,558180.0,5.0,0.0,2016.0,2002-2018
92,500847.0,4.0,0.0,2015.0,2002-2018
93,536128.0,4.0,0.0,2014.0,2002-2018
94,595977.0,4.0,1.0,2015.0,2002-2018
95,572038.0,4.0,1.0,2016.0,2002-2018
96,613624.0,5.0,1.0,2015.0,2002-2018
97,505892.0,5.0,0.0,2014.0,2002-2018
98,492656.0,4.0,1.0,2015.0,2002-2018
99,565737.0,5.0,1.0,2015.0,2002-2018
100,526047.0,5.0,1.0,2014.0,2002-2018
101,601020.0,5.0,1.0,2014.0,2002-2018
102,459897.0,3.0,1.0,2015.0,2002-2018
103,518491.0,4.0,1.0,2016.0,2002-2018
104,519749.0,4.0,1.0,2014.0,2002-2018
105,575188.0,4.0,1.0,2015.0,2002-2018
106,599757.0,5.0,1.0,2013.0,2002-2018
107,500220.0,4.0,0.0,2016.0,2002-2018
108,493294.0,4.0,1.0,2016.0,2002-2018
109,713159.0,6.0,1.0,2015.0,2002-2018
110,527944.0,4.0,1.0,2015.0,2002-2018
111,542431.0,5.0,1.0,2014.0,2002-2018
112,526684.0,4.0,1.0,2015.0,2002-2018
113,414544.0,3.0,0.0,2012.0,2002-2018
114,336421.0,3.0,1.0,2010.0,2002-2018
115,455486.0,4.0,0.0,2015.0,2002-2018
116,357207.0,2.0,0.0,2016.0,2002-2018
117,409498.0,3.0,0.0,2016.0,2002-2018
118,445414.0,3.0,0.0,2016.0,2002-2018
119,360357.0,2.0,0.0,2014.0,2002-2018
120,361621.0,2.0,0.0,2016.0,2002-2018
121,406981.0,2.0,0.0,2016.0,2002-2018
122,413279.0,2.0,0.0,2015.0,2002-2018
123,385564.0,2.0,0.0,2013.0,2002-2018
124,386821.0,2.0,0.0,2015.0,2002-2018
125,374854.0,2.0,0.0,2015.0,2002-2018
126,544321.0,4.0,1.0,2013.0,2002-2018
127,468716.0,4.0,1.0,2016.0,2002-2018
128,612361.0,3.0,0.0,2015.0,2002-2018
129,525422.0,5.0,0.0,2015.0,2002-2018
130,512187.0,5.0,0.0,2014.0,2002-2018
131,546838.0,5.0,0.0,2014.0,2002-2018
132,522903.0,5.0,0.0,2016.0,2002-2018
133,573302.0,5.0,0.0,2016.0,2002-2018
134,517859.0,5.0,0.0,2016.0,2002-2018
135,464941.0,4.0,0.0,2014.0,2002-2018
136,589682.0,5.0,1.0,2015.0,2002-2018
137,296100.0,2.0,0.0,2013.0,2002-2018
138,508413.0,3.0,0.0,2015.0,2002-2018
139,718827.0,4.0,1.0,2014.0,2002-2018
140,476278.0,4.0,0.0,2015.0,2002-2018
141,524160.0,5.0,0.0,2016.0,2002-2018
142,466199.0,4.0,0.0,2014.0,2002-2018
143,450446.0,3.0,0.0,2015.0,2002-2018
144,495178.0,5.0,0.0,2016.0,2002-2018
145,483213.0,4.0,1.0,2014.0,2002-2018
146,289171.0,3.0,0.0,2015.0,2002-2018
147,337051.0,4.0,0.0,2016.0,2002-2018
148,313108.0,4.0,0.0,2014.0,2002-2018
149,319410.0,3.0,0.0,2016.0,2002-2018
150,522902.0,5.0,1.0,2014.0,2002-2018
151,483207.0,4.0,1.0,2015.0,2002-2018
152,527939.0,5.0,1.0,2015.0,2002-2018
153,485104.0,4.0,1.0,2014.0,2002-2018
154,548103.0,5.0,1.0,2014.0,2002-2018
155,480058.0,4.0,1.0,2015.0,2002-2018
156,340200.0,3.0,0.0,2013.0,2002-2018
157,410757.0,3.0,0.0,2012.0,2002-2018
158,463677.0,2.0,0.0,2014.0,2002-2018
159,532983.0,2.0,0.0,2014.0,2002-2018
160,614251.0,2.0,0.0,2016.0,2002-2018
161,462424.0,2.0,0.0,2013.0,2002-2018
162,303031.0,2.0,0.0,2013.0,2002-2018
163,373589.0,2.0,0.0,2016.0,2002-2018
164,491404.0,4.0,0.0,2016.0,2002-2018
165,497698.0,4.0,0.0,2014.0,2002-2018
166,439113.0,4.0,0.0,2014.0,2002-2018
167,457379.0,3.0,0.0,2014.0,2002-2018
168,388080.0,4.0,0.0,2016.0,2002-2018
169,546207.0,4.0,0.0,2014.0,2002-2018
170,490137.0,4.0,0.0,2013.0,2002-2018
171,558181.0,5.0,0.0,2014.0,2002-2018
172,594088.0,4.0,0.0,2015.0,2002-2018
173,465572.0,4.0,0.0,2016.0,2002-2018
174,497704.0,3.0,0.0,2014.0,2002-2018
175,498957.0,3.0,0.0,2013.0,2002-2018
176,490141.0,3.0,0.0,2014.0,2002-2018
177,498958.0,4.0,0.0,2014.0,2002-2018
178,507784.0,5.0,0.0,2015.0,2002-2018
179,583377.0,5.0,1.0,2016.0,2002-2018
180,323193.0,3.0,0.0,2017.0,2002-2018
181,410761.0,3.0,0.0,2013.0,2002-2018
182,689224.0,5.0,0.0,2012.0,2002-2018
183,529198.0,3.0,0.0,2014.0,2002-2018
184,378001.0,2.0,0.0,2016.0,2002-2018
185,369810.0,2.0,0.0,2016.0,2002-2018
186,459266.0,2.0,0.0,2014.0,2002-2018
187,340833.0,4.0,0.0,2015.0,2002-2018
188,319407.0,4.0,0.0,2014.0,2002-2018
189,324450.0,4.0,0.0,2016.0,2002-2018
190,321929.0,4.0,0.0,2015.0,2002-2018
191,541803.0,4.0,1.0,2008.0,2002-2018
192,491403.0,4.0,1.0,2009.0,2002-2018
193,466196.0,4.0,1.0,2009.0,2002-2018
194,504001.0,5.0,1.0,2009.0,2002-2018
195,453604.0,4.0,1.0,2008.0,2002-2018
196,422099.0,3.0,1.0,2008.0,2002-2018
197,453596.0,4.0,1.0,2006.0,2002-2018
198,453596.0,4.0,0.0,2012.0,2002-2018
199,399424.0,3.0,0.0,2013.0,2002-2018
200,428399.0,3.0,1.0,2008.0,2002-2018
201,459897.0,3.0,1.0,2012.0,2002-2018
202,419584.0,4.0,1.0,2012.0,2002-2018
203,573297.0,2.0,1.0,1985.0,1985-2001
204,263342.0,2.0,0.0,2008.0,2002-2018
205,535503.0,3.0,0.0,2008.0,2002-2018
206,503368.0,3.0,0.0,2009.0,2002-2018
207,390598.0,2.0,0.0,2011.0,2002-2018
208,325080.0,4.0,0.0,2011.0,2002-2018
209,428400.0,4.0,1.0,2006.0,2002-2018
210,313744.0,4.0,0.0,2010.0,2002-2018
211,297364.0,3.0,0.0,2013.0,2002-2018
212,341464.0,3.0,0.0,2012.0,2002-2018
213,311847.0,3.0,0.0,2012.0,2002-2018
214,410760.0,6.0,1.0,2007.0,2002-2018
215,388078.0,5.0,1.0,2007.0,2002-2018
216,277196.0,3.0,0.0,2010.0,2002-2018
217,403196.0,4.0,0.0,2005.0,2002-2018
218,341456.0,3.0,1.0,2006.0,2002-2018
219,289804.0,3.0,0.0,2007.0,2002-2018
220,283499.0,2.0,0.0,2006.0,2002-2018
221,283504.0,2.0,0.0,2006.0,2002-2018
222,330116.0,2.0,0.0,2005.0,2002-2018
223,355319.0,2.0,0.0,2005.0,2002-2018
224,477536.0,4.0,0.0,2014.0,2002-2018
225,406354.0,3.0,0.0,2015.0,2002-2018
226,456747.0,3.0,0.0,2014.0,2002-2018
227,406353.0,3.0,0.0,2015.0,2002-2018
228,417688.0,3.0,0.0,2014.0,2002-2018
229,432811.0,3.0,0.0,2015.0,2002-2018
230,416434.0,4.0,0.0,2014.0,2002-2018
231,367288.0,4.0,0.0,2014.0,2002-2018
232,419579.0,4.0,0.0,2016.0,2002-2018
233,364774.0,4.0,0.0,2014.0,2002-2018
234,473764.0,3.0,0.0,2015.0,2002-2018
235,401942.0,3.0,0.0,2014.0,2002-2018
236,389970.0,3.0,0.0,2014.0,2002-2018
237,437221.0,5.0,0.0,2013.0,2002-2018
238,463052.0,4.0,0.0,2015.0,2002-2018
